rate_name,class,quality,bathroom,bedding,capacity,club,bedrooms,balcony,view,floor
"Two Bedroom Deluxe Suite Deluxe 2 Bedroom Suite, 2 King Beds",suite,deluxe,private bathroom,twin/twin-or-double,,not club,2 bedrooms,no balcony,,
Executive Two Bedroom Apartment Breakfast,apartment,executive,private bathroom,,,not club,2 bedrooms,no balcony,,
Double or Twin Room (1 Double Bed and 2 Twin Beds),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Standard Room, 1 Double or 2 Twin Beds",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Guest Guest Room, Atrium (25 m2):",room,standard,private bathroom,,,not club,,no balcony,,
Double room King bed - Luxury - Club Millesime Access - Balcony - Partial Sea view Double room King bed - Luxury - Club Millesime Access - Balcony - Partial Sea view sea,room,luxury,private bathroom,double/double-or-twin,double,not club,,balcony,partial-sea view,
"Superior Room, Garden Area(2 Twin Beds)",room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Standard room Burberry double,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard business room with 1 double bed double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Family room - Sea View Family room - Sea View sea,room,standard,private bathroom,,,not club,,no balcony,sea view,
"Junior Suite, 1 Queen Bed (1 Queen Bed)",junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
DOUBLE PREMIUM ROOM,room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Guest room, 2 Twin/Single Bed(s), Skyline view",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,with view,
Premier Lagoon Access Room Full Board,room,premier,private bathroom,,,not club,,no balcony,,
Twin/Double room - De Luxe - Plaza view Twin/Double room - De Luxe - Plaza view,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Family Suite, Multiple Beds",suite,,private bathroom,,,not club,,no balcony,,
Queen Deluxe Hearing Accessible Tub Non-Smoking Queen Deluxe Hearing Accessible Tub Non-Smoking,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Triple Suite Triple Junior suite bosphorus view Bosphorus,junior-suite,,private bathroom,,triple,not club,,no balcony,bosphorus view,
Standard 2 Single Standard,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Wonderful Wonderful Room - King Bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Executive Room, 2 Twin Beds, City View (2 Twin Beds)",room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
"Family Room, Multiple Beds (2+2)",room,standard,private bathroom,,,not club,,no balcony,,
ONE BEDROOM CORNER SUITE - ROLL IN SHOWER,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
2-room standard apartment with 2 twin beds,apartment,standard,private bathroom,twin/twin-or-double,double,not club,2 bedrooms,no balcony,,
Prestige Suite Prestige Suite Bosphorus View- Bosphorus,suite,prestige,private bathroom,,,not club,,no balcony,bosphorus view,
Standard Double Room with Fan,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"premium suite, 1 king bed, non smoking, jetted tub",suite,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"One Bedroom Business Suite Suite, 1 Bedroom, Business Lounge Access, 1 King Bed",suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Three Bedroom Pool Villa,villa,,private bathroom,,,not club,3 bedrooms,no balcony,,
Standard Breakfast Excluded,room,standard,private bathroom,,,not club,,no balcony,,
Standard quadruple room double,room,standard,private bathroom,double/double-or-twin,quadruple,not club,,no balcony,,
Kyma Suite,suite,,private bathroom,,,not club,,no balcony,,
"Family Villa, 4 Bedrooms, Garden View, Poolside",villa,,private bathroom,,,not club,4 bedrooms,no balcony,with view,
Twin room - Glamping Twin room - Glamping,tent,,shared bathroom,twin/twin-or-double,,not club,,no balcony,,
"Standard Double Room, 2 Double Beds, Pool View",room,standard,private bathroom,twin/twin-or-double,quadruple,not club,,no balcony,pool view,
Suite - King - De Luxe - Sea view Suite - King - De Luxe - Sea view sea,suite,deluxe,private bathroom,,,not club,,no balcony,sea view,
Premium Room (1 King Bed),room,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Jumeirah Skyline Suite Double Breakfast,suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic DOUBLE CLASSIC,room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard Room Breakfast,room,standard,private bathroom,,,not club,,no balcony,,
Double or twin standard (Special discount),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Apartment, 1 Bedroom, Balcony (2 adults + 1 child) (2 Twin Beds and 2 Twin Sofa Beds)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,balcony,,
Comfort (double bed + armchair-bed ) Standard rate without breakfast,room,comfort,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Junior Suite (deluxe) (1 King Bed and 1 Twin Sofa Bed),junior-suite,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Comfort Triple Room, Terrace, Garden Area (1 Double Bed and 1 Twin Bed) - Package Rate",room,comfort,private bathroom,multiple,double,not club,,no balcony,,
2-room Comfort Double FAM2 Standard rate with breakfast,room,comfort,private bathroom,double/double-or-twin,double,not club,2 bedrooms,no balcony,,
"Family Deluxe, Twin Bed, Sea View",room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
Classic Three Single Room non-smoking,room,classic,private bathroom,,,not club,,no balcony,,
Cottage A-Frame double,cottage,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
superior room attic double,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,attic floor
Double room Queen bed - Superior Double room Queen bed - Superior,room,superior,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Business Suite King Double Full Board,suite,business,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Classic Room (2 Twin Beds),room,classic,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
Luxe room for two persons Double bed Twin beds,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double room - Executive Double room - Executive,room,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Guest DOUBLE GUEST ROOM KING BED,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
deluxe double or twin room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Fairmont Gold Deluxe Palm Sea View Suite, Lounge Access Breakfast",suite,deluxe,private bathroom,,,not club,,no balcony,sea view,
Suite - Family - Interconnecting - Garden Suite - Family - Interconnecting - Garden garden,suite,,private bathroom,,,not club,,no balcony,garden view,
Twin Beds Standard Room Twin Beds Standard Room,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Superior Superior Room, Sea View Sea",room,superior,private bathroom,,,not club,,no balcony,sea view,
"Deluxe Suite, 1 King Bed, Sea View (1 King Bed)",suite,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
Deluxe Suite no view french bed and sofa (1 Sofa),suite,deluxe,private bathroom,single bed,single,not club,,no balcony,,
Deluxe Partial Sea View(2 Twin Beds),room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,partial-sea view,
Suite Terrace,suite,,private bathroom,,,not club,,no balcony,,
Studio Non Refundable rate without breakfast,studio,,private bathroom,,,not club,,no balcony,,
Luxe 2-room,room,standard,private bathroom,,,not club,2 bedrooms,no balcony,,
"Deluxe Apartment, 1 Bedrooms-Partial Marina lake view",apartment,deluxe,private bathroom,,,not club,1 bedroom,no balcony,lake view,
Suite apartment,suite,,private bathroom,,,not club,,no balcony,,
"Suite, 2 Bedrooms (1 King Bed)",suite,,private bathroom,double/double-or-twin,,not club,2 bedrooms,no balcony,,
Superior Twin Room Room Only,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Premium Suite Premium Suite, 1 King Bed",suite,premium,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Room,room,executive,private bathroom,,,not club,,no balcony,,
Marsh Dwelling,room,standard,private bathroom,,,not club,,no balcony,,
Apartment - Sea view,apartment,,private bathroom,,,not club,,no balcony,sea view,
Standard with a sofa Double bed,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe King Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Executive Suite (1 Queen Bed),suite,executive,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard 2 Single Bedsclassic Room,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Family 2 Bedroom Sea View, Connecting Guest room, Balcony Breakfast",room,standard,private bathroom,,,not club,2 bedrooms,balcony,sea view,
Apartment,apartment,,private bathroom,,,not club,,no balcony,,
"Executive Double Room, Sea View (2 Twin Beds)",room,executive,private bathroom,twin/twin-or-double,double,not club,,no balcony,sea view,
"Superior Room, Balcony (1 Queen Bed)",room,superior,private bathroom,double/double-or-twin,double,not club,,balcony,,
Wedding Deluxe with Nevsky Prospect view Nonref,room,deluxe,private bathroom,,,not club,,no balcony,,
Deluxe King Ocean View Deluxe King Ocean View Breakfast Included (1 King),room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,ocean view,
SUPERIOR TWIN ROOM WITH JACUZZI,room,superior,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
"Deluxe Room, 1 King Bed, Balcony, Sea View (1 King Bed)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,balcony,sea view,
"Suite, 1 Bedroom (Fully Furnished)",suite,,private bathroom,,,not club,1 bedroom,no balcony,,
Deluxe Double or Twin DELUXE CITY VIEW City,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,city view,
Club King Club Superior with King Bed,room,superior,private bathroom,double/double-or-twin,double,club,,no balcony,,
Standard City View Room - Twin Beds City,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,city view,
DELUXE PANORAMIC SEA VIEW,room,deluxe,private bathroom,,,not club,,no balcony,sea view,
Twin room - De Luxe - Garden view Twin room - De Luxe - Garden view garden,room,deluxe,private bathroom,twin/twin-or-double,double,not club,,no balcony,garden view,
Classic Double Room (1 King Bed),room,classic,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Apartment, 1 bedroom, 2 adults and 1 child (2 Twin Beds and 1 Double Sofa Bed)",apartment,,private bathroom,twin/twin-or-double,double,not club,1 bedroom,no balcony,,
ground floor double room Room Only,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,basement floor
Double room - Single use - De Luxe Breakfast,room,deluxe,private bathroom,double/double-or-twin,single,not club,,no balcony,,
"Senior Room Senior Double Room, Sea View (1 Double)",room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,sea view,
True White Suite with Private Jacuzzi and Sea View,suite,,private bathroom,,,not club,,no balcony,sea view,
Suite double or twin room twin (Main Building),suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Deluxe Twin Non Smoking Room,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard double or twin room double (Main Building),room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
1 King Bed Standard Lounge Access,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
deluxe king,room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Duplex Suite,suite,,private bathroom,,,not club,,no balcony,,duplex floor
Executive Executive Place with Balcony,room,executive,private bathroom,,,not club,,balcony,,
"Deluxe Room, 1 King Bed",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Deluxe Room, 1 Double Bed (1 Double Bed)",room,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Standard TWIN CLUB Club,room,standard,private bathroom,twin/twin-or-double,double,not club,,no balcony,,
One Bedroom Suite Double Half Board,suite,,private bathroom,double/double-or-twin,double,not club,1 bedroom,no balcony,,
Double Room - All Inclusive Junior Suite-All Inclusive-Refundable Rate,junior-suite,,private bathroom,double/double-or-twin,double,not club,,no balcony,,
Double or Twin STANDARD,room,standard,private bathroom,double/double-or-twin,double,not club,,no balcony,,
skyline suite Breakfast,suite,,private bathroom,,,not club,,no balcony,,
Deluxe Water Villa with Pool (1 King Bed),villa,deluxe,private bathroom,double/double-or-twin,double,not club,,no balcony,,
"Apartment (1 Double Bed, 1 Twin Bunk Bed, 1 Double Sofa Bed and 1 Twin Sofa Bed)",apartment,,private bathroom,bunk bed,double,not club,,no balcony,,
Main Building Standard Single Room Non-Smoking With Bathroom And Toilet/Non-Smoking Western Style Single Bed With Plan Room Only,room,standard,private bathroom,single bed,single,not club,,no balcony,,
Single room - Bosphorus Single room - Bosphorus,room,standard,private bathroom,,single,not club,,no balcony,,
Large Mezzanine,room,standard,private bathroom,,,not club,,no balcony,,attic floor
Standard NORA OCEAN Ocean,room,standard,private bathroom,,,not club,,no balcony,,
Skyline Corner One Bedroom Suite,suite,,private bathroom,,,not club,1 bedroom,no balcony,,
